Sample,PC1,PC2,Cluster
Sample_1,-0.7365994218044831,-4.068557277506473,2
Sample_2,3.5584029669341324,5.05356609826928,1
Sample_3,-1.8347831999166555,-5.976228649654491,2
Sample_4,-1.3552801978666278,-2.2277589767345045,2
Sample_5,-3.0519432736687966,1.8166291671719828,2
Sample_6,-3.8285680570846634,2.4451207878369665,0
Sample_7,1.9218440102324867,2.3706986855678736,2
Sample_8,1.6672846761228535,-3.2410348717137745,2
Sample_9,3.582910933785643,-2.606594680244049,2
Sample_10,-2.174811197596344,-0.90467672246153,2
Sample_11,2.4753037630840393,1.706323587102024,1
Sample_12,-7.495312594561655,-3.327690101563686,2
Sample_13,-1.4462420166088277,-0.3516017301364469,2
Sample_14,0.8389921087227733,2.5268780374173154,1
Sample_15,-0.5295455109721513,-2.035334555950464,2
Sample_16,0.03951779420721103,-2.4360323371913175,1
Sample_17,2.6792042944679935,0.23614377732535313,1
Sample_18,2.5399356196383476,-2.555817926068419,1
Sample_19,-2.4471792569257502,-1.609499392187131,0
Sample_20,-0.4741097119048335,-0.26199646144044975,0
Sample_21,1.3267665320143494,-0.6897659529222242,2
Sample_22,-1.947269195498498,5.976139915846384,1
Sample_23,-1.614567213700989,1.1721900162192296,2
Sample_24,5.257427948207694,-1.3651198288596254,2
Sample_25,-2.492694841847316,-2.7297714522419767,2
Sample_26,0.8066945286411598,4.609131307952032,1
Sample_27,2.932871028316717,-2.8238283591897764,2
Sample_28,-2.3622150655276566,-0.701348492539785,2
Sample_29,3.515308316039617,-2.366335321086763,2
Sample_30,0.8687357170121015,5.290722399347995,2
Sample_31,-4.4030380872943615,1.8446965224853225,0
Sample_32,0.6430843439769275,0.14974574841196764,1
Sample_33,-0.010908462778579417,-0.4293356706763831,1
Sample_34,0.24774637047111311,3.1378018955897615,0
Sample_35,-0.3883263249594756,0.021112869517495712,1
Sample_36,-0.6772323327016352,-0.4487958618970398,2
Sample_37,0.29556563658661694,1.4290800482566774,1
Sample_38,-2.5458710835457046,3.54799363939353,1
Sample_39,-1.076232815546154,-2.9942580394385265,2
Sample_40,1.347056810708039,1.8973993965219966,1
Sample_41,-6.337618388315741,1.803796125604601,2
Sample_42,3.638732252432526,-0.5525208149816592,1
Sample_43,0.9329871186723792,-2.5819672000847325,1
Sample_44,4.080511537263343,-2.20480049063089,2
Sample_45,-0.28944531250022876,-0.015537757705180373,2
Sample_46,-0.431064884781137,-1.6869837815901332,2
Sample_47,2.1021901123802147,0.8685405386696098,2
Sample_48,0.19331958503781896,3.1784765016019505,1
Sample_49,4.883467665966104,2.080189286953118,1
Sample_50,-2.4250032230139253,0.03081635363496311,2
