Sample,PC1,PC2,Cluster
Sample_1,-2.1113368965856156,3.138803834140085,2
Sample_2,-14.11510292821516,3.2163162162714656,2
Sample_3,7.270342906050137,-1.0094849133862214,0
Sample_4,-0.750414474535033,4.807362058153102,0
Sample_5,6.972554558142446,3.160732963697888,0
Sample_6,1.0426063153031087,3.593260442306631,2
Sample_7,-4.170533979190307,3.431796463209655,0
Sample_8,-0.8213719475538908,-3.074069973886558,2
Sample_9,4.470070257217524,-17.98854875986759,1
Sample_10,7.469003891981867,-3.1738968117815998,1
Sample_11,-6.661775937127957,-1.1708067536358326,0
Sample_12,11.860790954064521,14.427517624393117,0
Sample_13,-0.4914348157319014,5.844248936430627,0
Sample_14,-8.468652150605452,1.100168338778132,2
Sample_15,5.527278214911832,-0.2060410535064584,2
Sample_16,-4.010221938566684,1.3700886316413348,2
Sample_17,-9.500489394054634,4.671628550081246,2
Sample_18,-12.696002382698003,13.188447848422925,2
Sample_19,10.512594933510842,3.697293165696734,0
Sample_20,10.842151015837855,2.0332830257021306,2
Sample_21,5.875579581408067,-8.154036906138803,1
Sample_22,-13.990459353162958,4.210498332291719,0
Sample_23,4.8074719947920785,7.5383424628956295,0
Sample_24,-10.154404645552951,-7.653217834121194,2
Sample_25,5.349560867689461,0.6669161301327817,0
Sample_26,10.098882777969163,0.38425683119560333,0
Sample_27,7.146356908841686,2.416579234201265,0
Sample_28,1.6600775175839682,1.4349665639625446,2
Sample_29,-6.862857672139544,-17.28467022249282,1
Sample_30,3.271804466648714,-4.88426232874873,1
Sample_31,3.1845064557034246,2.752053584266572,0
Sample_32,-3.284604782094777,-0.9953913274247365,2
Sample_33,2.1961932202851746,-5.820812548585073,1
Sample_34,0.5514363471492552,-4.421249383227967,0
Sample_35,-0.9034748714494576,5.870936161439566,0
Sample_36,-2.9092175704835945,-2.180212057955992,2
Sample_37,-5.832948569069491,6.421314916983879,0
Sample_38,0.31988631866793266,11.580564333512745,2
Sample_39,2.056931745289416,8.263414360431732,0
Sample_40,-1.97012306718397,1.3454744763146682,2
Sample_41,5.221142787746373,7.295755566054926,0
Sample_42,-8.70412734494816,-2.1389750038475865,2
Sample_43,-5.819892879676537,-4.669724639488622,2
Sample_44,-3.9630576496692265,-10.440400344261455,1
Sample_45,5.508627890253867,-5.405394688393025,1
Sample_46,2.5849011008052076,0.38785186824740914,0
Sample_47,-10.85064204003837,-3.4176132711775393,2
Sample_48,4.318884009233764,-9.62496278129391,1
Sample_49,-2.10898354429968,-7.376788620079332,1
Sample_50,11.03249379754567,-7.159312697555081,1
