,Latent_0,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7
Sample_1,-3.9236155,1.3519129,-3.829032,3.143999,-10.26975,-3.4915683,1.370082,-9.661737
Sample_2,-5.0662947,3.935378,-5.401856,-6.275099,2.6186118,6.782513,0.11346568,-4.731092
Sample_3,1.5437101,-2.206465,0.84066784,8.836428,-1.8466731,-6.174052,-0.8422419,-2.900814
Sample_4,-6.368084,2.8468256,1.5731002,1.514167,-1.0931153,-0.08857737,-4.4397717,1.8828933
Sample_5,-6.584891,0.05908411,4.654032,3.023891,-0.45619184,-10.031787,-2.2309353,1.6906987
Sample_6,4.926211,2.980959,1.9962711,1.8427258,-11.971106,2.915848,-1.751185,-2.9941018
Sample_7,1.238685,2.7753966,-2.0902286,6.6989746,-5.9052167,6.1811247,-5.924679,-8.935062
Sample_8,1.8994248,1.3536737,-5.949234,0.37079108,-6.0158615,-3.7063358,9.4491625,-1.5781578
Sample_9,6.6667004,6.306994,-13.216771,10.917364,-0.30496758,-13.102288,-3.2470512,1.1901996
Sample_10,1.2105705,-3.9050977,0.006224513,0.33411312,-2.96138,-8.94712,0.9573002,5.6720157
Sample_11,-8.727718,4.963881,-8.555814,8.634138,3.8978248,-0.8239958,-6.214545,-6.099798
Sample_12,-9.351695,2.0458322,12.6479645,12.401236,-9.213163,-4.596233,-2.325322,-2.8924465
Sample_13,-5.2659235,9.707062,2.1786983,5.6741924,-6.263748,-1.5120488,-1.9194285,-4.8143783
Sample_14,-1.1523495,3.5509377,-6.5745745,0.26275462,-5.2856965,2.7028692,2.1160626,-8.960853
Sample_15,4.7858224,-2.9330592,0.07061282,4.8134947,-5.8235555,-1.164929,5.637652,0.64018327
Sample_16,-5.6831136,2.062281,-2.685358,-0.087436065,1.5994853,-3.767191,1.7336351,-4.866874
Sample_17,-9.7603,2.0855796,-9.471705,-1.4715471,-12.9448395,-1.0394844,4.61509,-10.091104
Sample_18,-13.794668,-0.98467004,-0.44887897,-5.437607,-0.28601938,9.045472,-1.2750698,-5.2313614
Sample_19,-0.22858432,2.220763,6.6941786,10.685543,-7.9270353,-6.865085,-9.649617,-3.0920484
Sample_20,-0.83393395,-2.8476562,1.6945821,6.483002,-10.622791,-8.135526,8.666054,2.533264
Sample_21,-1.2585833,-0.77328074,-6.0399446,3.3375509,-1.3175915,-13.976789,1.1738832,3.250848
Sample_22,-8.671398,12.0714035,-2.6720486,-8.809486,-1.0659226,4.8620734,-13.113686,1.1753167
Sample_23,-5.02253,5.181444,7.034685,2.8826885,-6.1169114,-4.9216805,0.66870964,-1.0713055
Sample_24,-1.5817375,6.2122097,-12.928138,-7.205135,-2.044295,-4.8365846,6.72682,-0.7430505
Sample_25,1.2784387,-2.6701703,1.1165746,9.860666,0.081301734,-2.1710176,-1.3762527,-3.9243872
Sample_26,-6.6927648,2.7867486,1.8638877,0.8442705,-10.962308,-17.124989,0.75453866,4.688033
Sample_27,-2.6620233,-3.829384,5.000074,4.918586,1.1751211,-7.7388167,-6.017204,-2.210322
Sample_28,1.6677171,1.6563267,-0.22225434,2.1554503,-6.9846964,-1.1232973,3.848326,-1.1067785
Sample_29,8.059188,5.3958,-16.991991,5.6163917,1.6635662,-6.3158946,-8.427302,-9.286389
Sample_30,2.684314,4.385932,-2.3713174,0.62032247,-5.3797784,-8.372077,-0.31036377,1.5816758
Sample_31,1.5271921,0.46939725,3.2019467,1.9018308,-5.3647943,-1.0312148,-3.5196311,-0.27224126
Sample_32,-2.9874694,1.3323163,-3.8709993,-2.3195016,-1.238896,-3.6547148,-0.8178381,-0.9502029
Sample_33,4.995562,0.23915958,-5.0927525,10.9702425,1.2501689,-2.7940457,-0.87421167,-6.2123566
Sample_34,2.0394058,13.929016,-1.4494939,3.4956696,-6.661128,-5.8459115,-12.960903,0.36177814
Sample_35,-4.953489,2.7991555,1.5254297,4.786768,-4.109304,-2.842932,-1.0154871,-10.336183
Sample_36,5.782231,2.9128885,-3.826126,-1.0354245,-8.066159,0.39435282,-0.36993635,-4.191939
Sample_37,-12.260513,4.7348733,-0.28194103,3.3658595,2.6076095,0.97491586,-12.292618,-3.3514652
Sample_38,-15.582557,2.404276,4.077522,-0.9273164,-4.1626997,-4.9659348,7.294941,0.6775115
Sample_39,-9.50131,-5.7096643,3.568137,5.3402953,1.8865954,-3.297728,-0.8553673,-6.6298175
Sample_40,-1.8400145,0.14599106,-0.3926095,-1.5021465,0.8278957,-0.9019996,-0.19650005,-0.23753396
Sample_41,-1.326598,2.9422085,6.2728467,8.61251,-5.540097,1.8694148,-2.9829707,-0.88437885
Sample_42,-6.4828463,3.792775,-8.508674,-6.053295,-0.32931864,-4.15241,4.123378,-1.1843313
Sample_43,1.8726261,7.4233255,-7.9834146,0.9804811,-6.591528,-2.1108854,-4.457357,-5.7576466
Sample_44,3.0431437,6.973694,-8.134815,-2.4069715,0.8804006,-7.392151,-7.504025,0.50340474
